country,orders,units_sold,revenue
Australia,57,83891.0,138453.81
Austria,17,4881.0,10198.68
Bahrain,3,314.0,754.14
Belgium,98,23237.0,41196.34
Brazil,1,356.0,1143.6
Canada,6,2763.0,3666.38
Channel Islands,26,9485.0,20440.54
Cyprus,16,6340.0,13502.85
Czech Republic,2,671.0,826.74
Denmark,18,8235.0,18955.34
EIRE,288,147007.0,283140.52
European Community,4,499.0,1300.25
Finland,41,10704.0,22546.08
France,392,112060.0,209625.37
Germany,457,119154.0,228678.4
Greece,5,1557.0,4760.52
Hong Kong,11,4713.0,15483.0
Iceland,7,2458.0,4310.0
Israel,8,4406.0,8129.41
Italy,38,8112.0,17483.24
Japan,19,26016.0,37416.37
Lebanon,1,386.0,1693.88
Lithuania,4,652.0,1661.06
Malta,5,970.0,2725.59
Netherlands,94,200361.0,285446.34
Norway,36,19336.0,36165.44
Poland,19,3684.0,7334.65
Portugal,58,16231.0,33683.05
RSA,1,351.0,1002.31
Saudi Arabia,1,80.0,145.92
Singapore,7,5241.0,21279.29
Spain,90,27933.0,61558.56
Sweden,36,36078.0,38367.83
Switzerland,54,30617.0,57067.6
United Arab Emirates,3,982.0,1902.28
United Kingdom,18019,4646902.0,9001744.09
Unspecified,13,3295.0,4740.94
USA,5,2458.0,3580.39
