customer_id,orders,units_sold,revenue,average_order_value
12346,1,74215.0,77183.6,77183.6
12347,7,2458.0,4310.0,615.71
12348,4,2341.0,1797.24,449.31
12349,1,631.0,1757.55,1757.55
12350,1,197.0,334.4,334.4
12352,8,536.0,2506.04,313.26
12353,1,20.0,89.0,89.0
12354,1,530.0,1079.4,1079.4
12355,1,240.0,459.4,459.4
12356,3,1591.0,2811.43,937.14
12357,1,2708.0,6207.67,6207.67
12358,2,248.0,1168.06,584.03
12359,4,1609.0,6310.03,1577.51
12360,3,1165.0,2662.06,887.35
12361,1,91.0,189.9,189.9
12362,10,2229.0,5226.23,522.62
12363,2,408.0,552.0,276.0
12364,4,1506.0,1313.1,328.28
12365,2,174.0,641.38,320.69
12367,1,173.0,168.9,168.9
12370,4,2352.0,3541.94,885.49
12371,2,591.0,1887.96,943.98
12372,3,794.0,1298.04,432.68
12373,1,197.0,364.6,364.6
12374,1,342.0,742.93,742.93
12375,2,178.0,457.5,228.75
12377,2,944.0,1628.12,814.06
12378,1,2529.0,4008.62,4008.62
12379,2,407.0,852.24,426.12
12380,4,1127.0,2724.81,681.2
12381,5,808.0,1845.31,369.06
12383,5,1532.0,1850.56,370.11
12384,2,126.0,585.27,292.64
12386,2,354.0,401.9,200.95
12388,6,1462.0,2780.66,463.44
12390,1,353.0,549.84,549.84
12391,1,293.0,439.66,439.66
12393,4,816.0,1582.6,395.65
12394,2,819.0,1272.48,636.24
12395,12,2118.0,3018.63,251.55
12397,2,1263.0,2409.9,1204.95
12398,1,1394.0,1635.66,1635.66
12399,4,1178.0,1108.65,277.16
12401,1,11.0,84.3,84.3
12402,1,94.0,225.6,225.6
12403,1,96.0,427.7,427.7
12405,1,857.0,1710.39,1710.39
12406,2,1818.0,3415.3,1707.65
12407,5,1416.0,1708.12,341.62
12408,5,1409.0,2888.55,577.71
12409,3,5551.0,11072.67,3690.89
12410,2,211.0,693.33,346.67
12412,3,829.0,1226.88,408.96
12413,3,286.0,758.1,252.7
12414,3,300.0,562.41,187.47
12415,21,77374.0,124914.53,5948.31
12417,9,1552.0,3649.1,405.46
12418,1,407.0,668.58,668.58
12420,1,345.0,600.39,600.39
12421,4,484.0,807.04,201.76
12422,3,370.0,803.56,267.85
12423,8,1339.0,1859.31,232.41
12424,2,740.0,1760.96,880.48
12425,1,496.0,777.2,777.2
12426,1,258.0,582.73,582.73
12427,3,533.0,825.8,275.27
12428,9,3536.0,7956.46,884.05
12429,4,1557.0,3750.4,937.6
12430,1,117.0,256.4,256.4
12431,15,2896.0,6419.95,428.0
12432,5,1801.0,5059.32,1011.86
12433,7,11071.0,13375.87,1910.84
12434,2,394.0,806.14,403.07
12435,2,2055.0,7829.89,3914.95
12436,1,211.0,509.01,509.01
12437,18,2922.0,4951.41,275.08
12438,2,1180.0,2906.85,1453.43
12441,1,121.0,173.55,173.55
12442,1,182.0,172.06,172.06
12444,5,1153.0,5005.46,1001.09
12445,1,62.0,133.4,133.4
12446,1,351.0,1002.31,1002.31
12447,1,190.0,476.49,476.49
12448,1,243.0,449.45,449.45
12449,4,1553.0,4067.29,1016.82
12450,2,128.0,197.88,98.94
12451,5,6575.0,9035.52,1807.1
12452,2,185.0,430.57,215.29
12453,1,473.0,707.09,707.09
12454,1,1006.0,3528.34,3528.34
12455,6,2089.0,2466.86,411.14
12456,3,1633.0,3181.04,1060.35
12457,7,843.0,2363.23,337.6
12458,2,506.0,947.4,473.7
12461,2,287.0,826.88,413.44
12462,2,536.0,1189.59,594.8
12463,4,776.0,1344.78,336.2
12464,8,112.0,1212.05,151.51
12465,2,479.0,742.19,371.1
12468,2,366.0,729.54,364.77
12471,30,8200.0,19788.65,659.62
12472,7,4148.0,6572.11,938.87
12473,5,2414.0,3928.05,785.61
12474,18,4833.0,7324.09,406.89
12475,1,535.0,723.38,723.38
12476,11,2408.0,6816.42,619.67
12477,6,3653.0,13219.74,2203.29
12478,1,236.0,680.99,680.99
12479,1,385.0,527.2,527.2
12480,4,1707.0,3281.63,820.41
12481,10,3294.0,5579.82,557.98
12483,8,1110.0,2484.98,310.62
12484,6,2187.0,4527.32,754.55
12488,3,529.0,1298.66,432.89
12489,1,105.0,334.93,334.93
12490,10,3064.0,5417.93,541.79
12491,1,260.0,460.4,460.4
12492,2,192.0,263.21,131.61
12493,2,207.0,433.74,216.87
12494,7,707.0,1246.1,178.01
12497,1,1236.0,1043.1,1043.1
12498,3,159.0,403.7,134.57
12500,11,2678.0,4257.82,387.07
12501,1,1783.0,2169.39,2169.39
12502,5,820.0,3723.87,744.77
12504,2,90.0,482.05,241.03
12506,1,23.0,73.5,73.5
12507,3,894.0,1304.81,434.94
12508,2,271.0,397.88,198.94
12509,1,55.0,176.5,176.5
12510,2,353.0,982.57,491.29
12512,2,96.0,132.18,66.09
12513,1,462.0,612.29,612.29
12514,1,440.0,1017.68,1017.68
12515,1,131.0,383.7,383.7
12516,2,875.0,1312.06,656.03
12517,5,1361.0,2481.6,496.32
12518,5,1318.0,2056.89,411.38
12519,1,175.0,330.84,330.84
12520,5,1439.0,2634.26,526.85
12521,1,309.0,599.68,599.68
12522,2,194.0,192.72,96.36
12523,11,865.0,1789.77,162.71
12524,8,3699.0,4485.72,560.72
12526,3,632.0,1316.66,438.89
12527,3,234.0,348.71,116.24
12528,6,756.0,1933.48,322.25
12530,4,913.0,1662.28,415.57
12531,1,45.0,125.22,125.22
12532,1,153.0,349.83,349.83
12534,1,651.0,1089.18,1089.18
12535,2,219.0,716.35,358.18
12536,3,2803.0,12601.83,4200.61
12538,1,191.0,363.95,363.95
12539,4,2067.0,5568.35,1392.09
12540,17,6685.0,13400.24,788.25
12541,3,680.0,981.18,327.06
12544,1,136.0,372.7,372.7
12545,2,523.0,1000.39,500.2
12546,2,633.0,1161.5,580.75
12547,2,134.0,207.8,103.9
12548,1,49.0,95.2,95.2
12550,1,569.0,964.83,964.83
12551,1,100.0,168.0,168.0
12552,2,88.0,437.82,218.91
12553,10,1965.0,3692.28,369.23
12556,2,355.0,599.56,299.78
12557,5,4384.0,11990.96,2398.19
12558,1,196.0,269.96,269.96
12559,2,283.0,561.71,280.86
12560,3,1110.0,2134.01,711.34
12561,1,177.0,238.85,238.85
12562,7,1779.0,3781.74,540.25
12564,1,133.0,456.9,456.9
12565,1,80.0,145.92,145.92
12566,1,265.0,351.65,351.65
12567,10,4305.0,9401.28,940.13
12569,32,1801.0,4124.69,128.9
12571,2,523.0,519.61,259.81
12572,2,452.0,1020.42,510.21
12573,1,84.0,160.54,160.54
12574,1,61.0,218.45,218.45
12576,5,967.0,1315.83,263.17
12577,3,469.0,626.6,208.87
12578,2,1196.0,2794.51,1397.26
12579,1,285.0,440.42,440.42
12580,1,238.0,415.7,415.7
12581,1,161.0,197.71,197.71
12582,2,300.0,511.36,255.68
12583,15,5060.0,7281.38,485.43
12584,9,416.0,2338.15,259.79
12585,2,1279.0,2040.1,1020.05
12586,1,79.0,196.94,196.94
12587,1,51.0,144.0,144.0
12588,1,53.0,214.9,214.9
12589,2,306.0,646.68,323.34
12590,2,4283.0,9864.26,4932.13
12591,1,228.0,452.85,452.85
12592,2,290.0,437.6,218.8
12593,3,206.0,418.1,139.37
12594,10,1777.0,3338.22,333.82
12596,2,474.0,618.27,309.14
12597,4,2236.0,3811.22,952.81
12598,8,1964.0,3023.08,377.89
12599,7,956.0,1032.58,147.51
12600,10,774.0,2599.04,259.9
12601,5,245.0,577.06,115.41
12602,1,162.0,153.12,153.12
12603,1,63.0,739.2,739.2
12604,2,201.0,254.18,127.09
12607,1,1228.0,1579.51,1579.51
12609,3,648.0,1126.85,375.62
12610,5,1049.0,2099.54,419.91
12611,1,846.0,1193.32,1193.32
12612,1,262.0,704.04,704.04
12613,5,1644.0,3344.38,668.88
12614,1,76.0,315.6,315.6
12615,4,1376.0,2291.19,572.8
12616,2,284.0,713.3,356.65
12617,1,210.0,352.98,352.98
12618,1,96.0,177.31,177.31
12619,9,3378.0,3641.24,404.58
12620,3,1181.0,1339.41,446.47
12621,20,7440.0,13689.67,684.48
12622,1,69.0,180.1,180.1
12623,1,191.0,305.1,305.1
12624,2,355.0,641.13,320.57
12625,2,1612.0,2683.82,1341.91
12626,9,3453.0,6620.48,735.61
12627,7,2752.0,4478.53,639.79
12628,3,448.0,786.46,262.15
12630,2,548.0,1270.88,635.44
12631,1,236.0,640.5,640.5
12633,4,1162.0,2163.98,541.0
12635,2,1172.0,1689.18,844.59
12637,8,2994.0,6002.9,750.36
12638,1,577.0,671.69,671.69
12639,1,201.0,486.1,486.1
12640,3,311.0,1174.58,391.53
12641,1,72.0,185.9,185.9
12642,3,552.0,1013.26,337.75
12643,6,1808.0,3344.64,557.44
12644,1,325.0,477.91,477.91
12645,4,1084.0,1775.18,443.8
12646,2,897.0,1346.97,673.49
12647,12,1431.0,3722.82,310.24
12648,1,160.0,318.05,318.05
12649,3,586.0,623.51,207.84
12650,1,254.0,314.44,314.44
12651,1,78.0,114.0,114.0
12652,1,505.0,919.98,919.98
12653,2,919.0,2209.85,1104.93
12654,5,264.0,601.98,120.4
12656,5,1723.0,4051.17,810.23
12657,4,1044.0,1643.18,410.8
12658,1,320.0,686.05,686.05
12659,1,105.0,91.68,91.68
12660,1,127.0,245.1,245.1
12662,11,2058.0,3849.78,349.98
12664,9,1203.0,4881.88,542.43
12665,1,37.0,63.0,63.0
12667,1,395.0,620.13,620.13
12668,4,1634.0,3807.15,951.79
12669,3,1115.0,2744.03,914.68
12670,5,1397.0,2996.05,599.21
12672,1,78.0,225.9,225.9
12673,2,351.0,610.52,305.26
12674,4,1133.0,1970.6,492.65
12676,6,670.0,1331.39,221.9
12678,12,10923.0,17628.46,1469.04
12679,4,554.0,1113.02,278.26
12680,4,443.0,862.81,215.7
12681,22,7536.0,13787.54,626.71
12682,31,5555.0,12279.82,396.12
12683,15,4987.0,8476.57,565.1
12684,7,1985.0,2283.63,326.23
12685,6,1523.0,2863.08,477.18
12686,1,107.0,89.14,89.14
12688,1,3028.0,4873.81,4873.81
12689,2,628.0,1247.61,623.81
