stock_code,description,units_sold,revenue,orders
10002,INFLATABLE POLITICAL GLOBE ,860.0,759.89,71
10080,GROOVY CACTUS INFLATABLE,303.0,119.09,22
10120,DOGGY RUBBER,192.0,40.32,29
10123C,HEARTS WRAPPING TAPE ,5.0,3.25,3
10124A,SPOTS ON RED BOOKCOVER TAPE,16.0,6.72,5
10124G,ARMY CAMO BOOKCOVER TAPE,17.0,7.14,4
10125,MINI FUNKY DESIGN TAPES,1295.0,993.99,91
10133,COLOURING PENCILS BROWN TUBE,2856.0,1539.6,196
10135,COLOURING PENCILS BROWN TUBE,2229.0,2204.89,175
11001,ASSTD DESIGN RACING CAR PEN,1615.0,2389.44,113
15030,FAN BLACK FRAME ,143.0,41.47,12
15034,PAPER POCKET TRAVELING FAN ,6591.0,840.02,138
15036,ASSORTED COLOURS SILK FAN,23826.0,18569.84,518
15039,SANDALWOOD FAN,2090.0,1978.64,145
15044A,PINK PAPER PARASOL ,458.0,1439.02,102
15044B,BLUE PAPER PARASOL ,321.0,946.83,60
15044C,PURPLE PAPER PARASOL,313.0,1022.99,88
15044D,RED PAPER PARASOL,644.0,1819.76,84
15056bl,EDWARDIAN PARASOL BLACK,87.0,1086.88,62
15056BL,EDWARDIAN PARASOL BLACK,2844.0,15828.84,321
15056n,EDWARDIAN PARASOL NATURAL,127.0,1585.28,84
15056N,EDWARDIAN PARASOL NATURAL,3950.0,22152.69,456
15056p,EDWARDIAN PARASOL PINK,33.0,412.48,26
15056P,EDWARDIAN PARASOL PINK,776.0,4354.92,144
15058A,BLUE POLKADOT GARDEN PARASOL,200.0,1668.49,89
15058B,PINK POLKADOT GARDEN PARASOL,228.0,1885.27,97
15058C,ICE CREAM DESIGN GARDEN PARASOL,240.0,1429.82,72
15060b,FAIRY CAKE DESIGN UMBRELLA,3.0,24.87,3
15060B,FAIRY CAKE DESIGN UMBRELLA,451.0,1807.55,131
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892.0,360.71,70
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30.0,3.6,3
16011,ANIMAL STICKERS,1749.0,367.29,46
16012,FOOD/DRINK SPONGE STICKERS,1220.0,256.2,35
16014,SMALL CHINESE STYLE SCISSOR,13328.0,4335.76,54
16015,MEDIUM CHINESE STYLE SCISSOR,662.0,289.98,24
16016,LARGE CHINESE STYLE SCISSOR,1273.0,1053.45,65
16020C,CLEAR STATIONERY BOX SET ,84.0,69.9,17
16033,MINI HIGHLIGHTER PENS,840.0,100.8,4
16043,POP ART PUSH DOWN RUBBER ,98.0,11.76,2
16045,POPART WOODEN PENCILS ASST,8900.0,380.0,68
16046,TEATIME PEN CASE & PENS,65.0,55.25,14
16048,TEATIME ROUND PENCIL SHARPENER ,1460.0,205.3,67
16049,TEATIME GEL PENS ASST,504.0,82.08,5
16052,TEATIME PUSH DOWN RUBBER,479.0,115.3,13
